socialHeadline,headline,urlAlias,updatedDate
"""Hong Kong protests: how the four-day occupation of Chinese University ended""","""Hong Kong protests: how the four-day occupation of Chinese University ended""","""https://scmp.com/print/news/hong-kong/politics/article/3037816/hong-kong-protests-violence-returns-city-petrol-bombs""",2019-11-15 16:12:22
"""Are universities becoming ‘weapons factories’ as claimed by police?""","""Are Hong Kong’s universities becoming ‘weapons factories’ as claimed by police?""","""https://scmp.com/print/news/hong-kong/politics/article/3037990/are-hong-kongs-universities-becoming-weapons-factories""",2019-11-15 17:43:41
"""China demands Britain investigate Hong Kong minister’s fall""","""China demands British authorities investigate after Hong Kong minister falls in confrontation with London protesters""","""https://scmp.com/print/news/china/diplomacy/article/3037960/china-demands-uk-authorities-investigate-after-hong-kong""",2019-11-15 10:44:16
"""Growing international focus on Hong Kong protests""","""Hong Kong protests draw attention from US senators,  Xi Jinping, activists in Brazil and London""","""https://scmp.com/print/video/hong-kong/3037958/hong-kong-protests-draw-attention-us-senators-xi-jinping-activists-brazil""",2019-11-15 10:10:34
"""Hong Kong’s civil servants will be immediately suspended if arrested""","""Hong Kong protests: civil servants told they will be suspended immediately if they are arrested while taking part in unlawful public activities""","""https://scmp.com/print/news/hong-kong/politics/article/3037943/hong-kong-protests-civil-servants-told-they-will-face""",2019-11-15 11:49:15
"""Amid unrest, Hong Kong economy expected to shrink 1.3 per cent for 2019""","""Amid Hong Kong anti-government protests, city’s economy expected to shrink 1.3 per cent for the year""","""https://scmp.com/print/news/hong-kong/hong-kong-economy/article/3037930/amid-hong-kong-anti-government-protests-citys""",2019-11-15 15:59:53
"""Hong Kong police classify death of 70-year-old cleaner as murder""","""Hong Kong protests: police treat death of 70-year-old cleaner as murder, saying he was struck by brick thrown with malice""","""https://scmp.com/print/news/hong-kong/politics/article/3037927/hong-kong-protests-police-treat-death-70-year-old-cleaner""",2019-11-15 15:31:55
"""Hong Kong court extends online ban aimed at those who incite violence""","""Hong Kong court extends online messaging ban aimed at those inciting violence, which authorities say has had ‘very real and meaningful effect’""","""https://scmp.com/print/news/hong-kong/law-and-crime/article/3037908/hong-kong-court-extends-online-messaging-ban-aimed""",2019-11-15 15:31:54
"""Chinese embassy backs students tearing down banners in South Korea""","""Chinese embassy backs students tearing down ‘pro-Hong Kong protest’ banners in South Korea""","""https://scmp.com/print/news/china/diplomacy/article/3037898/chinese-embassy-backs-students-tearing-down-pro-hong-kong""",2019-11-15 06:59:12
"""Hong Kong’s lunchtime protests extend across city as hundreds block roads""","""Hong Kong protests: lunchtime demonstrations extend across city with hundreds of people blocking roads""","""https://scmp.com/print/news/hong-kong/society/article/3037877/hong-kong-protests-lunchtime-demonstrations-extend-across""",2019-11-15 11:33:57
"""Disney actress and Australian among 29 charged over Hong Kong protests""","""Hong Kong protests: Disney cast member, Australian tutor, and politician among those charged in connection with lunchtime demonstration""","""https://scmp.com/print/news/hong-kong/law-and-crime/article/3037869/hong-kong-protests-disney-actress-australian-tutor-and""",2019-11-15 09:01:47
"""Tai Po McDonald’s runs out of food as Hong Kong protests hit hard""","""Trapped in Tai Po: McDonald’s runs out of buns and hash browns and supermarket shelves are bare as Hong Kong protests limit supplies to one town""","""https://scmp.com/print/news/hong-kong/hong-kong-economy/article/3037851/mcdonalds-runs-out-food-and-supermarkets-shelves""",2019-11-15 15:31:48
"""Protest supporters question radical actions – but blame still pinned on government""","""Worsening levels of violence in Hong Kong protests has supporters questioning radical actions – but government still blamed for trouble""","""https://scmp.com/print/news/hong-kong/politics/article/3037824/worsening-levels-violence-hong-kong-protests-has-supporters""",2019-11-15 04:27:14
"""How a Hong Kong university morphed into a base for protesters""","""With an on-campus kitchen, a production line making petrol bombs and a training camp to practise throwing them, Chinese University has become a base for Hong Kong’s radical protesters""","""https://scmp.com/print/news/hong-kong/politics/article/3037813/campus-kitchen-production-line-making-petrol-bombs-and""",2019-11-15 04:10:49
"""Major Hong Kong highway closed eight hours after its partial reopening""","""Hong Kong protests: Tolo Highway closed eight hours after partial reopening as Chief Secretary Matthew Cheung fails to give district council elections guarantee""","""https://scmp.com/print/news/hong-kong/politics/article/3037836/hong-kong-protests-partial-reopening-tolo-highway-comes""",2019-11-15 12:47:09
"""Hong Kong student protests evoke South Korea’s 1987 campus rallies""","""Fiery Hong Kong student protests evoke memory of South Korea’s own 1987 June Struggle""","""https://scmp.com/print/week-asia/politics/article/3037807/fiery-hong-kong-student-protests-invoke-memory-south-koreas-own""",2019-11-16 08:31:40
"""Stocks Blog: AAC Technologies, BeiGene rise, but Hang Seng has brutal weekly performance amid protest chaos""","""Stocks Blog: AAC Technologies, BeiGene rise, but Hang Seng has brutal weekly performance amid protest chaos""","""https://scmp.com/print/business/markets/article/3037834/stocks-blog-hang-seng-track-biggest-weekly-loss-three-months""",2019-11-15 09:35:55
"""We’ll be back: mainland students hope to be back in Hong Kong soon""","""Mainland Chinese students flee, but hope to be back in Hong Kong soon""","""https://scmp.com/print/news/china/society/article/3037788/well-be-back-mainland-chinese-students-continue-flee-hope-be""",2019-11-15 01:24:37
"""Excessive force from police sparking spiral of violence""","""Hong Kong protests: police using excessive force as violence begets violence""","""https://scmp.com/print/comment/letters/article/3037475/hong-kong-protests-police-using-excessive-force-violence-begets""",2019-11-15 00:00:08
"""If Hong Kong protesters want democracy, they must practise it""","""If Hong Kong protesters want democracy, they need to practise what they preach""","""https://scmp.com/print/comment/letters/article/3037514/if-hong-kong-protesters-want-democracy-they-need-practise-what-they""",2019-11-14 23:30:01
"""No end to chaos in sight with Carrie Lam so out of touch""","""Is there hope for Hong Kong when city’s leader is so out of touch?""","""https://scmp.com/print/comment/letters/article/3037545/there-hope-hong-kong-when-citys-leader-so-out-touch""",2019-11-14 23:10:05
"""Hong Kong official Teresa Cheng hurt in London as protesters surround her""","""Hong Kong justice secretary Teresa Cheng injured in London while surrounded by protesters""","""https://scmp.com/print/news/china/diplomacy/article/3037830/hong-kong-justice-secretary-teresa-cheng-injured-london-while""",2019-11-15 10:43:12
"""Tough talk on Hong Kong security law only adds fuel to fire""","""How to further inflame Hong Kong protests: start talking about the national security law""","""https://scmp.com/print/comment/letters/article/3037488/how-further-inflame-hong-kong-protests-start-talking-about-national""",2019-11-14 22:35:08
"""Chinese tech firms offer jobs to Hong Kong students amid campus clashes""","""Hong Kong university students fleeing campus clashes are offered jobs by Chinese tech companies""","""https://scmp.com/print/tech/start-ups/article/3037751/hong-kong-university-students-fleeing-campus-clashes-are-offered""",2019-11-15 10:05:27
"""Senate puts Hong Kong democracy bill on fast track as violence rises""","""US senators try to fast-track Hong Kong democracy bill as violence in city rises""","""https://scmp.com/print/news/china/politics/article/3037826/us-senators-urge-passage-hong-kong-democracy-bill-violence-city""",2019-11-15 05:50:28
"""Man, 70, hit on head by brick during Hong Kong clash dies""","""Hong Kong protests: elderly man hit on head by brick during clash in Sheung Shui dies while two others hurt in separate incidents remain in critical condition""","""https://scmp.com/print/news/hong-kong/politics/article/3037822/hong-kong-protests-elderly-man-hit-head-brick-during-clash""",2019-11-15 09:49:07
,,,
"""Is Beijing ready to step in to stop Hong Kong protests?""","""Is Beijing ready to step in to stop Hong Kong protests?""","""https://scmp.com/print/news/china/politics/article/3037791/beijing-ready-step-stop-hong-kong-protests""",2019-11-14 16:26:00
"""Hong Kong curfew rumours sweep cyberspace""","""Hong Kong curfew rumours sweep cyberspace as ‘exclusive’ from China’s Global Times fuels the fire""","""https://scmp.com/print/news/china/politics/article/3037799/hong-kong-curfew-rumours-sweep-cyberspace-exclusive-chinas""",2019-11-15 06:32:27
"""Taiwanese students head home after campus clashes in Hong Kong""","""Hundreds of Taiwanese students head home after campus clashes in Hong Kong""","""https://scmp.com/print/news/china/politics/article/3037796/hundreds-taiwanese-students-head-home-after-campus-clashes-hong""",2019-11-14 16:14:24
"""Hong Kong protests: man beaten by baton-wielding gang in Sheung Shui""","""Hong Kong protests: man beaten by baton-wielding gang in Sheung Shui""","""https://scmp.com/print/news/hong-kong/politics/article/3037793/hong-kong-protests-man-beaten-baton-wielding-gang-sheung""",2019-11-14 16:14:10
"""Why students’ bid to bar police from campus failed, and what it means""","""Hong Kong protests: failure of students’ court bid to bar police from Chinese University campus has sent alarm bells ringing in academic circles. What does it mean for the future?""","""https://scmp.com/print/news/hong-kong/politics/article/3037775/hong-kong-protests-failure-students-court-bid-bar-police""",2019-11-15 07:49:38
"""Mainland Chinese students flee Hong Kong campuses ""","""Chinese and local organisations help students from mainland China flee universities in Hong Kong  ""","""https://scmp.com/print/video/hong-kong/3037764/chinese-and-local-organisations-help-students-mainland-china-flee""",2019-11-14 11:12:06
"""Police ban takes the parade out of Hong Kong’s pride celebrations""","""Police ban takes the parade out of Hong Kong’s pride celebrations, amid violent protests in the city""","""https://scmp.com/print/news/hong-kong/society/article/3037772/police-ban-takes-parade-out-hong-kongs-pride-celebrations""",2019-11-14 15:53:29
"""Burberry feels the impact of Hong Kong protests as sales fall""","""Burberry feels the impact of protests as Hong Kong sales fall to 5 per cent of total from 8 per cent""","""https://scmp.com/print/business/companies/article/3037757/burberry-feels-impact-protests-hong-kong-sales-fall-5-cent-total""",2019-11-14 14:55:12
"""Chinese professor hit by online backlash over Hong Kong protest posts""","""Chinese law professor falls foul of online backlash over posts defending Hong Kong protesters""","""https://scmp.com/print/news/china/society/article/3037744/chinese-law-professor-falls-foul-online-backlash-over-posts""",2019-11-15 03:48:26
"""Citigroup warns employees to avoid danger in Hong Kong after banker arrested""","""Hong Kong protests prompt Citigroup to warn employees to avoid ‘dangerous situations’ after banker arrested""","""https://scmp.com/print/news/hong-kong/hong-kong-economy/article/3037730/citigroup-warns-employees-avoid-dangerous""",2019-11-14 10:00:14
"""Protest disruptions across Hong Kong""","""Disruptions across Hong Kong as city braces for another day of protest violence""","""https://scmp.com/print/video/hong-kong/3037700/disruptions-across-hong-kong-city-braces-another-day-protest-violence""",2019-11-14 12:57:21
"""‘Hatred too deep-rooted’: Hong Kong university turns into a battleground""","""Chinese University: how a scenic seafront campus in northern Hong Kong became a fiery battlefield, scarred by petrol bombs and tear gas""","""https://scmp.com/print/news/hong-kong/politics/article/3037615/chinese-university-how-scenic-seafront-campus-northern-hong""",2019-11-14 12:36:23
"""As it happened: protesters vandalise and repeatedly set tunnel tollbooths on fire""","""As it happened: Hong Kong protesters vandalise and repeatedly set Cross-Harbour Tunnel tollbooths on fire""","""https://scmp.com/print/news/hong-kong/society/article/3037622/hong-kong-protests-tear-gas-fired-city-begins-fourth""",2019-11-14 19:52:04
"""Carrie Lam and her crew are the real ‘enemy of the people’""","""Hong Kong’s real ‘enemy of the people’ are Carrie Lam and her crew""","""https://scmp.com/print/comment/letters/article/3037450/hong-kongs-real-enemy-people-are-carrie-lam-and-her-crew""",2019-11-14 00:00:13
"""Hong Kong democracy bill sponsor claims ‘significant progress’ in US Senate""","""Marco Rubio, sponsor of Hong Kong pro-democracy bill, claims ‘very significant progress’ on the pending legislation""","""https://scmp.com/print/news/china/diplomacy/article/3037632/marco-rubio-sponsor-hong-kong-pro-democracy-bill-claims-very""",2019-11-14 02:44:42
