socialHeadline,headline,urlAlias,updatedDate
"""Police urge ‘don’t believe the rumours’ about dogs dying from tear gas""","""Hong Kong police urge ‘don’t believe the rumours’ about dogs dying from tear gas, but concern groups want animals removed from protests""",https://scmp.com/print/news/hong-kong/politics/article/3034369/hong-kong-police-urge-dont-believe-rumours-about-dogs-dying,24/10/2019 19:24
"""‘Virus of violence’ deadlier than Sars, says China’s top diplomat in Hong Kong""","""Hong Kong protests labelled independence campaign by China’s top diplomat in city, Xie Feng, who warns ‘virus of violence’ is spreading overseas""",https://scmp.com/print/news/hong-kong/politics/article/3034365/hong-kong-protests-virus-violence-deadlier-sars-and,24/10/2019 15:33
"""Hong Kong unrest leaves Qantas with a US$17 million profits slump""","""Hong Kong’s ongoing protests leave Australian airline Qantas with a US$17 million profits slump""",https://scmp.com/print/news/hong-kong/hong-kong-economy/article/3034354/hong-kongs-ongoing-protests-leave-australian,24/10/2019 15:32
"""Murder suspect’s Taiwan transfer may be delayed till after island election""","""Hong Kong murder suspect Chan Tong-kai’s transfer to Taiwan may be delayed until after island’s presidential election""",https://scmp.com/print/news/hong-kong/politics/article/3034345/delay-murder-suspect-chan-tong-kais-transfer-hong-kong,24/10/2019 19:11
"""Singapore sees small inflows of capital amid Hong Kong unrest""","""Singapore sees small inflows of capital amid Hong Kong unrest, says central bank""",https://scmp.com/print/news/asia/southeast-asia/article/3034337/singapore-slowdown-shows-signs-nearing-end-central-bank,24/10/2019 09:45
"""Legal experts divided over transfer of murder suspect to Taiwan""","""Taiwan officers can accompany murder suspect Chan Tong-kai from Hong Kong to island – as long as he agrees and they don’t use legal power in city, experts say""",https://scmp.com/print/news/hong-kong/politics/article/3034293/taiwan-officers-can-accompany-murder-suspect-chan-tong-kai,23/10/2019 17:50
"""Singalong to support ethnic minority communities after mosque spraying""","""Hong Kong protesters hold singalong in Tsim Sha Tsui as tensions ease with local ethnic minority communities over Kowloon Mosque police spraying""",https://scmp.com/print/news/hong-kong/politics/article/3034287/hong-kong-protesters-hold-singalong-tsim-sha-tsui-and-flash,24/10/2019 01:43
"""Why a murder case row is giving Tsai Ing-wen an election edge""","""Why a dispute over a Hong Kong murder suspect is giving Taiwan’s President Tsai Ing-wen an election edge""",https://scmp.com/print/news/china/politics/article/3034282/why-dispute-over-hong-kong-murder-suspect-giving-taiwans,23/10/2019 22:13
"""Police groups slam Chinese University head for ‘biased’ statement""","""Hong Kong’s police associations slam Chinese University head Rocky Tuan for ‘biased’ statement based on students’ accounts of alleged assaults by officers""",https://scmp.com/print/news/hong-kong/education/article/3034278/hong-kongs-police-associations-slam-chinese-university,23/10/2019 15:06
"""Beijing offers Hong Kong police ‘unwavering support’ after Carrie Lam remark""","""Hong Kong police have ‘unwavering support’, Beijing says after remark by city’s leader Carrie Lam""",https://scmp.com/print/news/china/politics/article/3034266/hong-kong-police-have-unwavering-support-beijing-says-after,24/10/2019 01:15
